Début des rapports,Fin des rapports,Nom de la campagne,Plateforme,Résultats,Indicateur de résultats,Couverture,Impressions,Répétition,CPM (Coût pour 1 000 impressions) (USD),Clics (tous),CTR (tous),CPC (tous) (USD),Interactions avec la publication,Commentaires sur la publication,Réactions à une publication,Partages de publications,J’aime sur Facebook,Coût par interaction avec la Page (USD),ThruPlays,Coût par ThruPlay (USD),Lectures de vidéo de 3 secondes,Coût par lecture de vidéo de 3 secondes (USD),Followers sur Instagram,Clics sur un lien,CPC (coût par clic sur un lien) (USD),Conversations par messages démarrées,Achats,Ajouts au panier,Ajouts d’informations de paiement,Paiements initiés,Prospects,Vues de contenu,ROAS (retour sur les dépenses publicitaires) des achats,Conversion rate,Coût par résultat,mois,annee
2023-03-23,2026-04-22,Batam- EOY Promo Info- Conversion - 139 512 clics,Facebook,6.0,actions:offsite_conversion.fb_pixel_purchase,554989,1102295,1.986156,0.163498,281,0.025492,0.641364,495.0,,,,,0.364087,131.0,1.37575,218.0,0.826712,0,277.0,0.650626,6.0,6.0,15.0,,11.0,,,0.071411,0.0,30.03721159,,
2023-03-23,2026-04-22,Batam- EOY Promo Lavage- Conversion - 100K clics,Facebook,8.0,actions:offsite_conversion.fb_pixel_purchase,50541,57315,1.13403,0.085679,30,0.052342,0.163689,33.0,,,,,0.148808,,,5.0,0.982134,0,28.0,0.175381,,8.0,9.0,,6.0,,,55.640086,0.0,0.61383352,,
2023-03-23,2026-04-22,Batam- Promo EOY Chauffages | 2eme vague- Conversion- 100K clics,Facebook,6.0,actions:offsite_conversion.fb_pixel_purchase,242876,349072,1.437244,0.240535,261,0.07477,0.321701,286.0,,,,,0.29358,13.0,6.45876,28.0,2.99871,0,258.0,0.325441,3.0,6.0,30.0,,9.0,,,1.067364,0.0,13.99397905,,
2023-03-23,2026-04-22,Batam - EOY Promo Pack encastrable - 57 883 clics,Facebook,8.0,actions:offsite_conversion.fb_pixel_purchase,45483,72871,1.602159,0.14192,37,0.050775,0.279509,37.0,,,,,0.279509,,,,,0,37.0,0.279509,1.0,8.0,13.0,,10.0,,,35.681316,0.0,1.2927284,,
2023-03-23,2026-04-22,Batam- EOY Promo Robot Pétrin- 100K clics,Facebook,3.0,actions:offsite_conversion.fb_pixel_purchase,173134,236850,1.368016,0.203547,96,0.040532,0.50219,96.0,,,,,0.50219,,,,,0,96.0,0.50219,3.0,3.0,15.0,,7.0,,,0.00643,0.0,16.07006829,,
2023-03-23,2026-04-22,Batam- Février 2025 - St.V - 100K clics,Facebook,4.0,actions:offsite_conversion.fb_pixel_purchase,98653,143105,1.450589,0.227445,96,0.067084,0.339047,100.0,,,,,0.325485,1.0,32.548485,12.0,2.712374,0,88.0,0.369869,1.0,4.0,14.0,,6.0,,,0.02888,0.0,8.13712113,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - SmartWatch-Buds - 100K clics,Facebook,6.0,actions:offsite_conversion.fb_pixel_purchase,108883,143404,1.317047,0.17878,61,0.042537,0.420291,77.0,,,,,0.332958,6.0,4.272955,17.0,1.508102,0,60.0,0.427295,1.0,6.0,8.0,,6.0,,,4.220343,0.0,4.27295453,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Réfrigérateurs - 60K clics,Facebook,2.0,actions:offsite_conversion.fb_pixel_purchase,41005,59096,1.44119,0.071262,27,0.045688,0.155975,41.0,,,,,0.102715,5.0,0.842264,14.0,0.300808,0,27.0,0.155975,1.0,2.0,2.0,,1.0,,,15.550952,0.0,2.10565891,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Lave Vaisselles - Carrousel,Facebook,3.0,actions:offsite_conversion.fb_pixel_purchase,1453,1579,1.086717,0.139051,4,0.253325,0.05489,5.0,,,,,0.043912,,,1.0,0.219561,0,4.0,0.05489,,3.0,4.0,,2.0,,,31.107545,0.0,0.07318696,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - TV - Carrousel,Facebook,,,1198,1315,1.097663,0.151902,0,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Four - Carrousel,Facebook,,,991,1150,1.160444,0.164849,1,0.086957,0.189577,1.0,,,,,0.189577,,,,,0,1.0,0.189577,,,,,,,,,0.0,,Février,2025
2023-03-23,2026-04-22,"Batam - Février 2025 - Ramadan (+159,15$)/4,5k$",Facebook,,,116882,232524,1.989391,0.103018,119,0.051178,0.201295,,,,,,,6.0,3.992341,20.0,1.197702,0,113.0,0.211983,,,,,,,,,,,Février,2025
2023-03-23,2026-04-22,Batam - prix cassé - 50K clics - META - Novembre 2024,Facebook,,,0,3,0.0,0.0,0,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,Novembre,2024
2023-03-23,2026-04-22,Batam - fin d'année 2024 - Trafic : solution classqiue(EOY),Facebook,,,25,30,1.2,0.0,1,3.333333,0.0,1.0,,1.0,,,0.0,,,,,0,,,,,,,,,,,0.0,,,2024
2023-03-23,2026-04-22,Batam EOY 2024 - Promo TV-  conversion solution optimisée,Facebook,,,0,7,0.0,2.852909,1,14.285714,0.01997,1.0,,,,,0.01997,,,,,0,1.0,0.01997,,,,,,,,,0.0,,,2024
2023-03-23,2026-04-22,Batam- EOY Promo Info- Conversion - 139 512 clics,Facebook,2.0,actions:offsite_conversion.fb_pixel_purchase,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,0,,,,2.0,2.0,,1.0,,,,,0.0,,
2023-03-23,2026-04-22,Batam- EOY Promo Lavage- Conversion - 100K clics,Facebook,,,0,1,0.0,9.981033,0,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,
2023-03-23,2026-04-22,Batam- Promo EOY Chauffages | 2eme vague- Conversion- 100K clics,Facebook,2.0,actions:offsite_conversion.fb_pixel_purchase,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,0,,,,2.0,1.0,,1.0,,,,,0.0,,
2023-03-23,2026-04-22,Batam - Février 2025 - SmartWatch-Buds - 100K clics,Facebook,,,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,0,,,,,2.0,,,,,,,,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Réfrigérateurs - 60K clics,Facebook,,,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,0,,,,,1.0,,,,,,,,Février,2025
2023-03-23,2026-04-22,"Batam - Février 2025 - Ramadan (+159,15$)/4,5k$",Facebook,,,0,2,0.0,4.988348,0,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,Février,2025
